GEOID;DESIGNACAO;IVolumetria;vagos_perc;IMedia_edif;aloj_habitual_perc;dimensao_aloj;aloj_por_familia;arrendamento_perc;ind_envelhecimento;ind_qualificacoes;ind_migraçao;primario_perc;secundario_perc;terciario_perc;divisoes_n;FAC1_3;FAC2_3;FAC3_3;FAC4_3;FAC5_3;CLU6_1;populacao;COVIDConfirmadosAcum;COVID_confirmados_10mil_hab
1812;Penedono;1.78;0.1;37.25;0.44;131.75;2.24;0.02;166.01;6.99;94.75;0.17;0.22;0.61;3.35;-1.35;-0.29;-0.2;0.09;-0.63;4;2952;0;0
1813;Resende;1.72;0.11;39.15;0.55;107.73;1.83;0.03;100.16;6.83;97.87;0.2;0.26;0.54;3.32;-0.35;-0.52;0.19;-1.47;-0.29;5;11364;94;82.72
1814;Santa Comba Dão;1.78;0.15;36.44;0.62;127.36;1.59;0.05;139.89;7.41;95.62;0.03;0.36;0.6;3.42;-0.07;-0.62;-0.39;0.96;0.21;1;11597;36;31.04
1815;São João da Pesqueira;1.76;0.11;38.46;0.54;122.76;1.85;0.04;118.6;6.76;96.57;0.41;0.16;0.43;3.33;-0.46;-0.76;-0.21;-1.06;-0.27;5;7874;11;13.97
1816;São Pedro do Sul;1.77;0.12;37.44;0.55;118.01;1.82;0.04;145.36;7.21;98.52;0.1;0.29;0.62;3.35;-0.45;-0.08;-0.08;-0.57;-0.41;5;16851;31;18.4
1817;Sátão;1.84;0.16;32.07;0.49;140.84;2.04;0.02;126.98;7.26;95.46;0.05;0.33;0.62;3.41;-0.79;-0.11;-1.12;1.4;-0.34;1;12444;24;19.29
1818;Sernancelhe;1.7;0.1;35.64;0.49;130.01;2.03;0.02;146.87;6.98;97.2;0.16;0.28;0.57;3.42;-1.02;-0.39;-0.49;0.51;-0.92;4;5671;100;176.34
1819;Tabuaço;1.72;0.13;37.28;0.55;116.24;1.82;0.05;134.1;6.96;90.72;0.17;0.25;0.58;3.36;-0.62;-1.18;0.49;0.29;0.44;4;6350;20;31.5
1820;Tarouca;1.72;0.23;41;0.43;125.13;2.32;0.03;89.12;7.06;90.61;0.09;0.25;0.66;3.37;-1.04;-0.27;-0.61;1.18;1.83;1;8048;7;8.7
1821;Tondela;1.83;0.13;38.35;0.62;128.53;1.6;0.04;159.66;7.26;95.85;0.08;0.34;0.58;3.39;-0.19;-0.79;-0.18;0.37;-0.04;4;28946;47;16.24
1822;Vila Nova de Paiva;1.9;0.11;34.98;0.44;131.32;2.26;0.02;135.51;7.28;93.2;0.1;0.22;0.68;3.35;-1.23;-0.02;-0.03;0.56;-0.61;4;5176;11;21.25
1823;Viseu;2.01;0.12;30.54;0.68;132.51;1.46;0.11;89.84;8.53;97.96;0.02;0.21;0.77;3.38;0.74;1.29;-0.35;0.58;-0.86;3;99274;363;36.57
1824;Vouzela;1.71;0.14;39.88;0.57;125.46;1.73;0.03;151.41;7.07;94.79;0.08;0.39;0.53;3.36;-0.32;-1.27;-0.3;-0.04;0.32;4;10564;32;30.29
4401;Santa Cruz da Graciosa;1.72;0.18;32.61;0.58;122.2;1.7;0.03;109.74;7.13;101.86;0.12;0.25;0.63;3.34;0.03;0.8;-1.27;-0.92;-0.26;4;11521;19;16.49
4501;Calheta (R.A. Açores);1.91;0.11;34.46;0.78;103.24;1.28;0.12;34.66;6.91;97.35;0.05;0.24;0.71;3.31;1.14;-0.06;0.72;-1.63;-0.36;5;35666;53;14.86
4502;Velas;2.01;0.14;40.1;0.76;115.3;1.31;0.19;78.26;8.37;106.73;0.01;0.13;0.87;3.32;1.62;2.69;-0.03;-1.96;-0.27;3;111892;189;16.89
4301;Angra do Heroísmo;1.77;0.13;31.26;0.73;118.09;1.36;0.04;63.69;7.18;97.73;0.06;0.24;0.71;3.36;0.63;0.34;-0.55;-0.45;-0.46;3;21828;17;7.79
4302;Vila da Praia da Vitór;1.8;0.12;38.05;0.66;112.59;1.51;0.05;74.27;7.17;98.36;0.12;0.24;0.64;3.32;0.39;0.03;-0.06;-1.34;-0.24;5;8862;9;10.16
4901;Corvo;1.81;0.17;28.1;0.54;119.24;1.85;0.04;142.89;6.65;97.49;0.19;0.14;0.67;3.31;-0.6;0.56;-0.52;-0.59;-0.31;4;2711;4;14.75
4701;Horta;2;0.16;36.22;0.66;110.93;1.51;0.03;68.28;7.23;97.5;0.03;0.27;0.7;3.28;0.46;0.22;0.04;-1.34;0.1;5;13375;10;7.48
4801;Lajes das Flores;1.95;0.13;29.86;0.74;120.85;1.35;0.06;41.23;8.39;99.79;0.02;0.14;0.84;3.38;0.92;1.94;-0.59;0.09;-0.8;3;43005;51;11.86
4802;Santa Cruz das Flores;1.65;0.09;34.09;0.61;107.48;1.64;0.02;127.51;6.99;96.29;0.15;0.16;0.69;3.32;-0.33;0.08;0.24;-1.24;-0.59;5;7719;10;12.96
4601;Lajes do Pico;1.61;0.13;31.07;0.56;119.32;1.8;0.02;115.28;6.97;101.19;0.05;0.24;0.71;3.35;-0.37;0.92;-1.06;-0.79;-0.83;4;5723;12;20.97
4602;Madalena;1.57;0.16;23.51;0.45;134.39;2.14;0.06;64.46;8.04;94.82;0.01;0.14;0.84;3.34;-0.51;1.86;-1.59;0.79;-0.73;6;5483;10;18.24
4603;São Roque do Pico;1.53;0.14;38.98;0.55;112.09;1.81;0.1;52.72;7.59;95.21;0.08;0.16;0.76;3.3;0.22;0.76;-0.23;-1.18;0.55;5;5552;0;0
4101;Vila do Porto;1.67;0.09;35.68;0.82;131.09;1.15;0.1;34.68;7.14;94.81;0.08;0.21;0.71;3.33;1.35;-0.14;-0.64;-0.91;-0.28;5;14442;3;2.08
4201;Lagoa (R.A. Açores);1.55;0.13;46.16;0.64;130.17;1.55;0.06;73.86;6.92;97.04;0.18;0.22;0.6;3.43;0.25;-0.3;-0.9;-0.02;0.77;1;4937;40;81.02
4202;Nordeste;1.75;0.15;39.82;0.78;134.2;1.26;0.1;45.04;8.21;97.78;0.05;0.16;0.79;3.34;1.42;1.28;-1.12;-0.44;0.56;3;68809;36;5.23
4203;Ponta Delgada;1.57;0.09;46.42;0.58;119.02;1.72;0.07;57.73;6.87;96.62;0.13;0.24;0.63;3.29;0.22;-0.36;-0.21;-1.99;0.19;5;6327;10;15.81
4204;Povoação;1.55;0.12;36.88;0.8;127.68;1.25;0.09;27.22;7.1;96.2;0.12;0.27;0.61;3.34;1.34;-0.41;-0.97;-1.05;0.01;5;32112;5;1.56
4205;Ribeira Grande;1.69;0.11;39.15;0.77;115.93;1.29;0.09;42.34;6.88;99.39;0.11;0.31;0.58;3.29;1.26;-0.48;-0.39;-2.27;-0.25;5;11229;0;0
4206;Vila Franca do Campo;1.67;0.13;32.29;0.8;131.83;1.23;0.14;64.72;7.73;97.69;0.08;0.19;0.73;3.37;1.37;0.75;-0.93;-0.28;-0.23;3;35402;23;6.5
3101;Calheta (R.A. Madeira);1.58;0.11;41.4;0.75;131.44;1.3;0.1;60.74;7.29;98.16;0.07;0.21;0.71;3.39;1;0.35;-0.9;-0.48;0.12;3;21035;10;4.75
3102;Câmara de Lobos;1.55;0.1;49.88;0.58;125.63;1.71;0.06;96.8;6.99;97.4;0.14;0.22;0.64;3.34;0.01;-0.17;-0.49;-1.26;0.66;5;4391;6;13.66
3103;Funchal;1.58;0.11;34.03;0.58;111.1;1.7;0.05;98.17;6.8;97.4;0.13;0.3;0.57;3.38;-0.2;-0.6;-0.1;-0.57;-0.66;5;3773;4;10.6
3104;Machico;1.61;0.14;45.67;0.64;112.56;1.54;0.07;90.86;7.19;96.26;0.12;0.23;0.65;3.24;0.59;-0.17;-0.12;-2.45;1.02;5;5398;6;11.12
3105;Ponta do Sol;1.57;0.11;33.56;0.52;130.18;1.91;0.03;119.1;7.12;95.35;0.16;0.24;0.6;3.31;-0.48;-0.19;-0.92;-0.68;-0.58;4;4711;0;0
3106;Porto Moniz;1.53;0.1;27.38;0.66;137.63;1.49;0.06;89.58;7.32;97.7;0.12;0.25;0.64;3.35;0.43;0.25;-1.53;-0.37;-1.3;2;6049;6;9.92
3107;Ribeira Brava;1.56;0.1;32.74;0.53;132.06;1.85;0.05;100.61;7.39;94.16;0.1;0.24;0.66;3.34;-0.31;-0.06;-0.78;-0.13;-0.74;4;3388;5;14.76
3108;Santa Cruz;1.61;0.09;29.69;0.76;127.31;1.3;0.1;70.36;7.84;96.43;0.08;0.16;0.76;3.32;1.02;0.84;-0.73;-0.85;-0.9;3;14994;11;7.34
3109;Santana;1.54;0.1;52.65;0.57;113.25;1.68;0.06;93.71;7.1;96.34;0.15;0.22;0.64;3.16;0.38;-0.3;-0.01;-3.87;1.01;5;1504;0;0
3110;São Vicente;1.55;0.13;45.38;0.71;114.17;1.35;0.1;92.79;7.37;98.21;0.11;0.22;0.67;3.28;0.96;0.16;-0.28;-2.13;0.88;5;2289;0;0
3201;Porto Santo;1.52;0.07;71.55;0.8;106.98;1.04;0.14;88.75;7.03;104.42;0.17;0.24;0.58;3.03;2.32;-0.31;0.34;-7.89;1.7;5;430;0;0
