GEOID;DESIGNACAO;IVolumetria;vagos_perc;IMedia_edif;aloj_habitual_perc;dimensao_aloj;aloj_por_familia;arrendamento_perc;ind_envelhecimento;ind_qualificacoes;ind_migraçao;primario_perc;secundario_perc;terciario_perc;divisoes_n;FAC1_3;FAC2_3;FAC3_3;FAC4_3;FAC5_3;CLU6_1;populacao;COVIDConfirmadosAcum;COVID_confirmados_10mil_hab
1208;Fronteira;1.54;0.1;47.18;0.52;119.29;1.93;0.06;162.71;7.54;95.16;0.16;0.17;0.67;3.42;-0.78;0.01;0.23;0.39;0.72;4;3410;0;0
1209;Gavião;1.54;0.16;46.8;0.48;105.36;2.07;0.02;327.18;6.62;96.37;0.07;0.21;0.71;3.4;-1.87;-0.28;0.82;0.26;1.63;4;4132;14;33.88
1210;Marvão;1.58;0.17;53.48;0.49;116.73;2.04;0.11;240.17;7.26;101.31;0.08;0.19;0.73;3.39;-0.8;0.91;0.05;-0.55;1.83;1;3512;6;17.08
1211;Monforte;1.51;0.07;50.75;0.52;117.85;1.94;0.07;144.7;7.26;97.15;0.17;0.12;0.71;3.26;-0.43;0.43;0.18;-2.32;0.44;5;3329;0;0
1212;Nisa;1.57;0.14;49.51;0.44;118.09;2.28;0.02;297.16;7.19;96.42;0.06;0.22;0.73;3.35;-1.76;0.14;0.34;-0.14;1.37;4;7450;6;8.05
1213;Ponte de Sôr;1.55;0.13;38.22;0.64;115.35;1.55;0.09;143.49;7.45;95.26;0.13;0.21;0.66;3.38;0.06;-0.11;0.06;-0.05;0.44;4;16722;28;16.74
1214;Portalegre;1.85;0.15;46.8;0.68;116.51;1.46;0.16;132.38;8.5;98.38;0.04;0.17;0.79;3.36;0.86;1.2;0.53;-0.43;1.19;3;24930;53;21.26
1215;Sousel;1.51;0.19;53.66;0.55;131.7;1.81;0.06;181.01;7.37;94.93;0.18;0.2;0.63;3.4;-0.43;-0.17;-0.71;0.42;2.46;1;5074;5;9.85
1301;Amarante;1.74;0.12;33.49;0.68;125.16;1.46;0.13;71.37;7.33;95.01;0.03;0.44;0.53;3.41;0.74;-1.3;-0.03;0.45;-0.54;2;56264;358;63.63
1302;Baião;1.67;0.16;36.35;0.62;111.62;1.62;0.08;87.45;6.76;92.56;0.04;0.45;0.5;3.36;0.18;-1.93;0.28;-0.07;0.44;4;20522;161;78.45
1303;Felgueiras;1.82;0.12;33.2;0.78;128.13;1.28;0.17;51.99;7.08;97.13;0.02;0.6;0.38;3.42;1.48;-2.29;-0.05;0.14;-0.92;2;58065;978;168.43
1304;Gondomar;2.1;0.11;38.56;0.83;110.97;1.2;0.21;71.58;7.95;96.57;0;0.24;0.75;3.42;1.48;0.18;1.48;0.29;0.06;3;168027;1740;103.55
1305;Lousada;1.75;0.11;30.19;0.81;130.25;1.22;0.14;42.76;6.99;95.98;0.01;0.56;0.43;3.41;1.46;-2.14;-0.37;0.16;-1.11;2;47387;1253;264.42
1306;Maia;2.07;0.11;36.47;0.84;125.01;1.19;0.19;61.15;8.72;96.96;0.01;0.25;0.74;3.42;1.67;0.61;0.6;0.68;-0.31;3;135306;1648;121.8
1307;Marco de Canaveses;1.78;0.12;33.79;0.73;124.41;1.36;0.13;51.86;7.02;92.59;0.02;0.51;0.47;3.39;1.01;-2.24;0.27;0.32;-0.45;2;53450;485;90.74
1308;Matosinhos;2.18;0.1;39.89;0.82;110.96;1.21;0.23;82.69;8.5;97.5;0.01;0.21;0.79;3.39;1.57;0.7;1.71;0;-0.08;3;175478;2426;138.25
1309;Paços de Ferreira;1.83;0.1;30.2;0.83;128.03;1.19;0.16;44.29;6.9;97.26;0;0.56;0.44;3.38;1.66;-2.05;-0.06;-0.5;-1.43;2;56340;1845;327.48
1310;Paredes;1.86;0.11;33.63;0.82;120.34;1.22;0.14;44.98;7.16;97.52;0.01;0.46;0.53;3.4;1.47;-1.29;0.17;-0.33;-0.78;2;86854;1032;118.82
1311;Penafiel;1.74;0.11;34.63;0.79;124.88;1.26;0.14;51.73;7.25;96.95;0.02;0.49;0.49;3.41;1.37;-1.53;-0.15;-0.14;-0.67;2;72265;681;94.24
1312;Porto;2.66;0.19;59.09;0.72;106.88;1.37;0.32;136.77;9.07;101.95;0;0.14;0.85;3.29;1.79;1.86;2.7;-1.5;2.16;3;237591;3508;147.65
1313;Póvoa de Varzim;2.13;0.1;32.22;0.62;131.21;1.61;0.12;66.01;7.82;96.64;0.08;0.29;0.62;3.42;0.37;-0.05;0.25;0.92;-1.25;1;63408;778;122.7
1314;Santo Tirso;1.71;0.09;35.83;0.83;129.92;1.19;0.18;89.13;7.34;97.34;0.01;0.49;0.5;3.42;1.5;-1.57;0;-0.03;-0.82;2;71530;822;114.92
1315;Valongo;2.09;0.1;34.32;0.84;114.35;1.19;0.18;60.31;8.02;96.11;0;0.29;0.71;3.43;1.42;-0.09;1.24;0.59;-0.6;3;93858;1352;144.05
1316;Vila do Conde;1.88;0.08;35.68;0.71;127.66;1.39;0.13;67.01;7.74;95.74;0.08;0.34;0.58;3.42;0.83;-0.72;0.25;0.47;-0.88;2;79533;1190;149.62
1317;Vila Nova de Gaia;2.06;0.12;39.86;0.8;113.95;1.25;0.2;74.27;8.23;97.06;0;0.26;0.74;3.39;1.5;0.33;1.17;0.02;0.21;3;302295;3246;107.38
1318;Trofa;1.77;0.11;34.11;0.83;135.2;1.19;0.14;61.49;7.59;96.66;0.02;0.48;0.5;3.42;1.58;-1.35;-0.5;0.3;-0.7;2;38999;312;80
1401;Abrantes;1.69;0.17;45.84;0.62;116.88;1.6;0.08;154.49;7.78;96.01;0.04;0.29;0.67;3.43;0.02;-0.11;0.1;0.71;1.46;1;39325;102;25.94
1402;Alcanena;1.7;0.2;43.26;0.68;130.98;1.45;0.09;131.6;7.63;95.08;0.01;0.41;0.58;3.42;0.54;-0.85;-0.63;0.98;1.45;1;13868;42;30.29
1403;Almeirim;1.64;0.17;36.49;0.76;125.91;1.31;0.07;111.12;7.8;95.2;0.12;0.22;0.66;3.38;0.77;0.13;-0.77;0.38;0.87;1;23376;61;26.1
1404;Alpiarça;1.57;0.17;39.37;0.74;128.11;1.35;0.07;127.71;7.57;95.94;0.14;0.2;0.66;3.39;0.6;0.14;-0.94;0.23;1.08;1;7702;22;28.56
1405;Benavente;1.8;0.14;30.52;0.74;121.63;1.35;0.13;69.22;8.15;95.9;0.05;0.24;0.71;3.42;0.95;0.46;-0.14;0.83;-0.31;1;29019;265;91.32
1406;Cartaxo;1.64;0.14;39.47;0.71;122.89;1.39;0.1;106.79;8.05;95.85;0.04;0.23;0.72;3.4;0.7;0.38;-0.27;0.4;0.59;1;24462;146;59.68
1407;Chamusca;1.53;0.22;48.57;0.67;112.88;1.5;0.12;168.47;7.06;96.46;0.17;0.27;0.56;3.38;0.39;-0.63;-0.15;-0.36;2.61;1;10120;52;51.38
1408;Constância;1.64;0.15;39.41;0.71;125.33;1.39;0.09;105.72;7.92;98.84;0.02;0.3;0.67;3.42;0.75;0.34;-0.69;0.24;0.32;1;4056;18;44.38
1409;Coruche;1.53;0.23;43.35;0.65;108.17;1.52;0.07;182.09;7.26;95.51;0.17;0.26;0.57;3.35;0.15;-0.52;-0.2;-0.33;2.38;1;19944;90;45.13
1410;Entroncamento;2.37;0.14;35.39;0.75;125.45;1.33;0.11;85.51;8.96;95.31;0.01;0.17;0.83;3.45;0.83;1.24;0.81;2.03;0.04;3;20206;162;80.17
1411;Ferreira do Zêzere;1.66;0.14;42.22;0.45;126.19;2.19;0.02;165.21;7.06;96.69;0.1;0.3;0.6;3.44;-1.28;-0.34;-0.4;1.01;0.29;4;8619;15;17.4
1412;Golegã;1.54;0.18;39.89;0.68;130.84;1.47;0.09;139.29;7.73;96.27;0.08;0.2;0.72;3.41;0.42;0.58;-1.03;0.72;1.27;1;5465;26;47.58
1413;Mação;1.61;0.13;43.43;0.44;123.31;2.25;0.02;298.24;7.06;96.84;0.03;0.31;0.65;3.39;-1.81;-0.39;0.16;0.53;0.49;4;7338;38;51.79
1414;Rio Maior;1.65;0.18;39.71;0.65;128.72;1.5;0.07;102.43;7.75;96.79;0.06;0.32;0.62;3.41;0.47;-0.06;-0.95;0.63;0.85;1;21192;84;39.64
1415;Salvaterra de Magos;1.53;0.13;32.69;0.71;124.49;1.39;0.06;112.38;7.62;95.49;0.08;0.28;0.65;3.37;0.53;-0.13;-0.77;0.06;-0.06;1;22159;62;27.98
1416;Santarém;1.78;0.16;43.98;0.7;129.39;1.41;0.12;119.57;8.36;97.62;0.04;0.22;0.74;3.4;0.8;0.81;-0.4;0.44;0.98;1;62200;466;74.92
1417;Sardoal;1.63;0.17;38.44;0.5;126.45;1.97;0.05;161.6;7.57;94.72;0.03;0.27;0.71;3.43;-0.8;0.19;-0.48;1.46;0.76;4;3939;6;15.23
1418;Tomar;1.69;0.14;40.14;0.61;119.56;1.61;0.09;139.18;7.95;96.98;0.03;0.23;0.74;3.41;0.05;0.58;-0.08;0.54;0.53;4;40677;145;35.65
1419;Torres  Novas;1.66;0.16;43.74;0.69;127.14;1.43;0.08;129.12;8.14;95.63;0.02;0.27;0.71;3.43;0.49;0.22;-0.42;0.97;1.18;1;36717;122;33.23
1420;V. Nova da Barquinha;1.58;0.16;40.73;0.7;125.14;1.41;0.12;135.77;7.9;96.87;0.01;0.17;0.82;3.42;0.55;1.02;-0.5;0.6;1.06;1;7322;21;28.68
1421;Ourém;1.83;0.13;38.18;0.57;131.7;1.72;0.05;108.41;7.78;96.2;0.01;0.36;0.63;3.41;-0.08;-0.24;-0.46;0.77;-0.23;1;45932;179;38.97
1501;Alcácer do Sal;1.58;0.16;39.76;0.58;112.38;1.69;0.08;145.2;7.29;96.44;0.18;0.19;0.63;3.39;-0.21;0.06;-0.08;0;0.92;4;13046;74;56.72
1502;Alcochete;2.26;0.14;36.36;0.76;122.64;1.3;0.17;60.26;9.04;95.94;0.03;0.19;0.78;3.41;1.33;1.09;0.82;1.14;0.09;3;17569;114;64.89
1503;Almada;2.37;0.1;33.94;0.7;101.1;1.41;0.19;104.51;8.73;96.82;0.01;0.15;0.84;3.39;0.78;1.18;2.39;0.46;-0.68;3;174030;1928;110.79
